,Unnamed: 0,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1271899,3389648,1671418800,2022-12-19 03:00:00+00:00,ETH-USD,1184.18,1184.57,1183.81,1184.4,92.36475434
1271959,3389708,1671422400,2022-12-19 04:00:00+00:00,ETH-USD,1179.54,1179.58,1179.03,1179.34,187.07002145
1272019,3389768,1671426000,2022-12-19 05:00:00+00:00,ETH-USD,1182.34,1182.85,1182.17,1182.51,153.72210177
1272079,3389828,1671429600,2022-12-19 06:00:00+00:00,ETH-USD,1179.24,1179.54,1178.15,1179.37,396.30437983
1272139,3389888,1671433200,2022-12-19 07:00:00+00:00,ETH-USD,1182.1,1182.49,1181.75,1182.1,152.10741155
1272199,3389948,1671436800,2022-12-19 08:00:00+00:00,ETH-USD,1180.05,1180.22,1179.75,1180.18,119.36885863
1272259,3390008,1671440400,2022-12-19 09:00:00+00:00,ETH-USD,1183.86,1184.18,1183.84,1184.03,46.46094805
1272319,3390068,1671444000,2022-12-19 10:00:00+00:00,ETH-USD,1184.37,1184.76,1184.26,1184.66,206.68134771
1272379,3390128,1671447600,2022-12-19 11:00:00+00:00,ETH-USD,1186.44,1186.98,1186.35,1186.64,382.2835961
1272439,3390188,1671451200,2022-12-19 12:00:00+00:00,ETH-USD,1183.48,1183.53,1183.3,1183.42,84.46025622
1272499,3390248,1671454800,2022-12-19 13:00:00+00:00,ETH-USD,1186.52,1187.41,1186.16,1187.08,250.39023234
1272559,3390308,1671458400,2022-12-19 14:00:00+00:00,ETH-USD,1182.7,1183.3,1182.56,1183.08,437.62005103
1272619,3390368,1671462000,2022-12-19 15:00:00+00:00,ETH-USD,1186.49,1187.37,1185.37,1185.95,385.66882776
1272679,3390428,1671465600,2022-12-19 16:00:00+00:00,ETH-USD,1179.56,1179.65,1178.02,1179.44,891.66621455
1272739,3390488,1671469200,2022-12-19 17:00:00+00:00,ETH-USD,1175.78,1176.5,1175.45,1175.67,348.56889305
1272799,3390548,1671472800,2022-12-19 18:00:00+00:00,ETH-USD,1173.25,1173.48,1172.7,1172.7,252.07068182
1272859,3390608,1671476400,2022-12-19 19:00:00+00:00,ETH-USD,1168.53,1169.41,1167.28,1169.28,509.39252909
1272919,3390668,1671480000,2022-12-19 20:00:00+00:00,ETH-USD,1170.65,1170.78,1170.09,1170.19,168.65145534
1272979,3390728,1671483600,2022-12-19 21:00:00+00:00,ETH-USD,1175.72,1175.94,1175.59,1175.7,337.46982598
1273039,3390788,1671487200,2022-12-19 22:00:00+00:00,ETH-USD,1175.8,1175.84,1174.84,1175.29,196.8485749
1273099,3390848,1671490800,2022-12-19 23:00:00+00:00,ETH-USD,1162.58,1164.32,1161.32,1163.85,736.20761075
1273159,3390908,1671494400,2022-12-20 00:00:00+00:00,ETH-USD,1167.59,1168.71,1167.12,1168.55,273.23647115
1273219,3390968,1671498000,2022-12-20 01:00:00+00:00,ETH-USD,1171.93,1173.43,1171.88,1173.43,111.56655746
1273279,3391028,1671501600,2022-12-20 02:00:00+00:00,ETH-USD,1185.92,1187.29,1185.77,1186.97,149.32148714
1273339,3391088,1671505200,2022-12-20 03:00:00+00:00,ETH-USD,1193.12,1193.83,1192.58,1193.83,275.98946154
